t_ms,rpm,cons
3,23.72,35.0
3,21.34,35.0
3,21.34,35.0
3,21.34,35.0
3,24.79,35.0
13,21.34,35.0
13,23.72,35.0
13,21.34,35.0
13,23.72,35.0
24,21.34,35.0
24,23.72,35.0
24,23.72,35.0
24,24.79,35.0
24,23.72,35.0
35,23.72,35.0
35,23.72,35.0
35,23.72,35.0
35,23.72,35.0
35,23.72,35.0
46,23.72,35.0
46,26.09,35.0
46,24.79,35.0
46,23.72,35.0
46,26.09,35.0
57,23.72,35.0
57,26.09,35.0
57,23.72,35.0
57,26.09,35.0
57,26.09,35.0
68,24.79,35.0
68,26.09,35.0
68,26.09,35.0
68,26.09,35.0
79,26.09,35.0
79,26.09,35.0
79,26.09,35.0
79,23.72,35.0
79,29.75,35.0
90,26.09,35.0
90,26.09,35.0
90,26.09,35.0
90,26.09,35.0
90,28.46,35.0
101,26.09,35.0
101,26.09,35.0
101,28.46,35.0
101,27.27,35.0
101,28.46,35.0
113,26.09,35.0
113,28.46,35.0
113,26.09,35.0
113,28.46,35.0
113,28.46,35.0
123,26.09,35.0
123,29.75,35.0
123,28.46,35.0
123,28.46,35.0
133,26.09,35.0
133,28.46,35.0
133,28.46,35.0
133,28.46,35.0
133,28.46,35.0
144,29.75,35.0
144,28.46,35.0
144,28.46,35.0
144,28.46,35.0
144,28.46,35.0
154,30.83,35.0
154,28.46,35.0
154,28.46,35.0
154,28.46,35.0
165,29.75,35.0
165,30.83,35.0
165,28.46,35.0
165,28.46,35.0
165,30.83,35.0
176,28.46,35.0
176,30.83,35.0
176,28.46,35.0
176,32.23,35.0
176,28.46,35.0
187,30.83,35.0
187,28.46,35.0
187,30.83,35.0
187,30.83,35.0
198,28.46,35.0
198,30.83,35.0
198,29.75,35.0
198,30.83,35.0
198,30.83,35.0
208,28.46,35.0
208,30.83,35.0
208,30.83,35.0
208,30.83,35.0
219,30.83,35.0
219,28.46,35.0
219,32.23,35.0
219,30.83,35.0
219,30.83,35.0
230,30.83,35.0
230,30.83,35.0
230,30.83,35.0
230,30.83,35.0
230,30.83,35.0
241,32.23,35.0
241,30.83,35.0
241,30.83,35.0
241,30.83,35.0
241,30.83,35.0
252,30.83,35.0
252,33.2,35.0
252,30.83,35.0
252,32.23,35.0
262,30.83,35.0
262,30.83,35.0
262,30.83,35.0
262,33.2,35.0
262,30.83,35.0
273,30.83,35.0
273,30.83,35.0
273,33.2,35.0
273,32.23,35.0
273,33.2,35.0
283,30.83,35.0
283,30.83,35.0
283,33.2,35.0
283,30.83,35.0
294,33.2,35.0
294,30.83,35.0
294,32.23,35.0
294,33.2,35.0
294,30.83,35.0
305,33.2,35.0
305,30.83,35.0
305,33.2,35.0
305,30.83,35.0
305,33.2,35.0
