t_ms,rpm,pwm
0,54.55,2900.0
20,55.09,2900.0
40,54.55,2900.0
60,54.55,2900.0
80,55.09,2900.0
100,54.55,2900.0
120,55.09,2900.0
140,54.55,2900.0
160,55.09,2900.0
180,54.55,2900.0
200,54.55,2900.0
220,55.09,2900.0
240,54.55,2900.0
260,55.09,2900.0
280,54.55,2900.0
300,55.09,2900.0
320,54.55,2900.0
340,54.55,2900.0
360,55.09,2900.0
380,54.55,2900.0
400,55.09,2900.0
420,54.55,2900.0
440,55.09,2900.0
460,54.55,2900.0
480,54.55,2900.0
500,55.09,2900.0
520,54.55,2900.0
540,55.09,2900.0
560,54.55,2900.0
580,55.09,2900.0
600,54.55,2900.0
620,55.09,2900.0
640,54.55,2900.0
660,54.55,2900.0
680,55.09,2900.0
